Sample,Group,Sex
adrenal_gland_SRR5273654,adrenal_gland,female
adrenal_gland_SRR5273670,adrenal_gland,female
adrenal_gland_SRR5273686,adrenal_gland,male
adrenal_gland_SRR5273702,adrenal_gland,male
bone_marrow_SRR5273648,bone_marrow,female
bone_marrow_SRR5273664,bone_marrow,female
bone_marrow_SRR5273680,bone_marrow,male
bone_marrow_SRR5273696,bone_marrow,male
brain_SRR5273635,brain,female
brain_SRR5273637,brain,female
brain_SRR5273639,brain,male
brain_SRR5273641,brain,male
brain_SRR5273657,brain,female
brain_SRR5273673,brain,female
brain_SRR5273689,brain,male
brain_SRR5273705,brain,male
forestomach_SRR5273646,forestomach,female
forestomach_SRR5273662,forestomach,female
forestomach_SRR5273678,forestomach,male
forestomach_SRR5273694,forestomach,male
heart_SRR5273651,heart,female
heart_SRR5273667,heart,female
heart_SRR5273684,heart,male
heart_SRR5273699,heart,male
kidney_SRR5273655,kidney,female
kidney_SRR5273671,kidney,female
kidney_SRR5273687,kidney,male
kidney_SRR5273703,kidney,male
large_intestine_SRR5273644,large_intestine,female
large_intestine_SRR5273660,large_intestine,female
large_intestine_SRR5273676,large_intestine,male
large_intestine_SRR5273692,large_intestine,male
liver_SRR5273634,liver,female
liver_SRR5273636,liver,female
liver_SRR5273638,liver,male
liver_SRR5273640,liver,male
liver_SRR5273656,liver,female
liver_SRR5273672,liver,female
liver_SRR5273688,liver,male
liver_SRR5273704,liver,male
lung_SRR5273652,lung,female
lung_SRR5273668,lung,female
lung_SRR5273684,lung,male
lung_SRR5273700,lung,male
muscle_SRR5273643,muscle,female
muscle_SRR5273659,muscle,female
muscle_SRR5273675,muscle,male
muscle_SRR5273691,muscle,male
small_intestine_SRR5273645,small_intestine,female
small_intestine_SRR5273661,small_intestine,female
small_intestine_SRR5273677,small_intestine,male
small_intestine_SRR5273693,small_intestine,male
spleen_SRR5273653,spleen,female
spleen_SRR5273669,spleen,female
spleen_SRR5273685,spleen,male
spleen_SRR5273701,spleen,male
stomach_SRR5273647,stomach,female
stomach_SRR5273663,stomach,female
stomach_SRR5273679,stomach,male
stomach_SRR5273695,stomach,male
thymus_SRR5273650,thymus,female
thymus_SRR5273666,thymus,female
thymus_SRR5273682,thymus,male
thymus_SRR5273698,thymus,male
